ensembl_gene_id	Endothelial cells	Fibroblasts	other
ENSG00000261371	1	0	0
ENSG00000090339	1	0	0
ENSG00000259207	1	0	0
ENSG00000007908	1	0	0
ENSG00000162692	1	0	0
ENSG00000076706	1	0	0
ENSG00000101000	1	0	0
ENSG00000120156	1	0	0
ENSG00000037280	1	0	0
ENSG00000171388	1	0	0
ENSG00000110799	1	0	0
ENSG00000164867	1	0	0
ENSG00000178726	1	0	0
ENSG00000130300	1	0	0
ENSG00000213088	1	0	0
ENSG00000139155	1	0	0
ENSG00000166292	1	0	0
ENSG00000069122	1	0	0
ENSG00000118777	1	0	0
ENSG00000128567	1	0	0
ENSG00000163072	1	0	0
ENSG00000168389	1	0	0
ENSG00000139567	1	0	0
ENSG00000240583	1	0	0
ENSG00000065534	1	0	0
ENSG00000105538	1	0	0
ENSG00000151702	1	1	0
ENSG00000066056	1	0	0
ENSG00000134817	1	0	0
ENSG00000118257	1	0	0
ENSG00000154734	1	0	0
ENSG00000177519	1	0	0
ENSG00000170323	1	1	0
ENSG00000277494	1	0	0
ENSG00000115641	1	0	0
ENSG00000113083	1	1	0
ENSG00000167748	1	0	0
ENSG00000128271	1	0	0
ENSG00000120318	1	0	0
ENSG00000198844	1	0	0
ENSG00000100065	1	0	0
ENSG00000176435	1	0	0
ENSG00000128917	1	0	0
ENSG00000164283	1	0	0
ENSG00000196329	1	0	0
ENSG00000187513	1	0	0
ENSG00000173269	1	0	0
ENSG00000204301	1	0	0
ENSG00000169418	1	0	0
ENSG00000027075	1	0	0
ENSG00000152689	1	0	0
ENSG00000154133	1	0	0
ENSG00000074660	1	0	0
ENSG00000203883	1	0	0
ENSG00000171056	1	0	0
ENSG00000183018	1	0	0
ENSG00000136114	1	0	0
ENSG00000178878	1	0	0
ENSG00000134531	1	0	0
ENSG00000135218	1	0	0
ENSG00000129538	1	0	0
ENSG00000068001	1	0	0
ENSG00000182566	1	0	0
ENSG00000166856	1	0	0
ENSG00000185010	1	0	0
ENSG00000162444	1	0	0
ENSG00000064989	1	0	0
ENSG00000103241	1	1	0
ENSG00000130940	1	0	0
ENSG00000165269	1	0	0
ENSG00000125878	1	0	0
ENSG00000161649	1	0	0
ENSG00000165810	1	0	0
ENSG00000106511	1	0	0
ENSG00000157554	1	0	0
ENSG00000186834	1	0	0
ENSG00000257780	1	0	0
ENSG00000196352	1	1	0
ENSG00000138722	1	0	0
ENSG00000112936	1	0	0
ENSG00000122679	1	0	0
ENSG00000150630	1	0	0
ENSG00000265107	1	0	0
ENSG00000164683	1	0	0
ENSG00000172602	1	0	0
ENSG00000145734	1	0	0
ENSG00000117335	1	0	0
ENSG00000005102	1	1	0
ENSG00000172724	1	1	0
ENSG00000099866	1	0	0
ENSG00000138061	1	1	0
ENSG00000177508	1	0	0
ENSG00000110330	1	0	0
ENSG00000133800	1	0	0
ENSG00000153993	1	0	0
ENSG00000164035	1	0	0
ENSG00000103175	1	0	0
ENSG00000162618	1	0	0
ENSG00000179403	1	0	0
ENSG00000117298	1	0	0
ENSG00000127329	1	0	0
ENSG00000184113	1	0	0
ENSG00000184058	1	0	0
ENSG00000138623	1	0	0
ENSG00000137273	1	0	0
ENSG00000100311	1	0	0
ENSG00000249751	1	0	0
ENSG00000111145	1	0	0
ENSG00000179776	1	0	0
ENSG00000178209	1	0	0
ENSG00000010327	1	0	0
ENSG00000163513	1	0	0
ENSG00000125810	1	0	0
ENSG00000163739	1	0	0
ENSG00000143248	1	0	0
ENSG00000232995	1	0	0
ENSG00000103257	1	0	0
ENSG00000106991	1	0	0
ENSG00000128052	1	0	0
ENSG00000117394	1	0	0
ENSG00000172889	1	0	0
ENSG00000102755	1	0	0
ENSG00000116016	1	0	0
ENSG00000136160	1	0	0
ENSG00000121361	1	0	0
ENSG00000085117	1	0	0
ENSG00000175264	1	0	0
ENSG00000145287	1	0	0
ENSG00000127324	1	0	0
ENSG00000134954	1	0	0
ENSG00000174059	1	0	0
ENSG00000162493	1	0	0
ENSG00000117707	1	0	0
ENSG00000013016	1	0	0
ENSG00000122862	1	0	0
ENSG00000197747	1	0	0
ENSG00000169504	1	0	0
ENSG00000130307	1	0	0
ENSG00000111046	1	0	0
ENSG00000138315	1	0	0
ENSG00000115008	1	0	0
ENSG00000125845	1	0	0
ENSG00000173918	1	0	0
ENSG00000113555	1	0	0
ENSG00000197635	1	0	0
ENSG00000163453	1	0	0
ENSG00000099260	1	0	0
ENSG00000133110	1	1	0
ENSG00000102010	1	0	0
ENSG00000017483	1	0	0
ENSG00000158125	1	0	0
ENSG00000113140	1	1	0
ENSG00000074416	1	0	0
ENSG00000065054	1	0	0
ENSG00000102760	1	0	0
ENSG00000108622	1	0	0
ENSG00000111341	1	1	0
ENSG00000152583	1	0	0
ENSG00000169908	1	0	0
ENSG00000125968	1	0	0
ENSG00000148671	1	0	0
ENSG00000010278	1	0	0
ENSG00000101955	1	0	0
ENSG00000117318	1	0	0
ENSG00000105974	1	0	0
ENSG00000127920	1	0	0
ENSG00000142798	1	0	0
ENSG00000276409	1	0	0
ENSG00000165682	1	0	0
ENSG00000160339	1	0	0
ENSG00000189171	1	0	0
ENSG00000142748	1	0	0
ENSG00000145708	1	0	0
ENSG00000165949	1	0	0
ENSG00000274736	1	0	0
ENSG00000118515	1	0	0
ENSG00000163687	1	0	0
ENSG00000113594	1	0	0
ENSG00000267107	1	0	0
ENSG00000129757	1	0	0
ENSG00000241644	1	1	0
ENSG00000107317	1	0	0
ENSG00000100234	1	0	0
ENSG00000150625	1	0	0
ENSG00000183615	1	0	0
ENSG00000213316	1	0	0
ENSG00000136011	1	0	0
ENSG00000115594	0	1	0
ENSG00000078098	0	1	0
ENSG00000139610	0	1	0
ENSG00000113721	0	1	0
ENSG00000122884	0	1	0
ENSG00000175567	0	1	0
ENSG00000121807	0	1	0
ENSG00000005844	0	1	0
ENSG00000000938	0	1	0
ENSG00000101336	0	1	0
ENSG00000028137	0	1	0
ENSG00000163932	0	1	0
ENSG00000108515	0	1	0
ENSG00000108798	0	1	0
ENSG00000188056	0	1	0
ENSG00000150867	0	1	0
ENSG00000186407	0	1	0
ENSG00000242550	0	1	0
ENSG00000164932	0	1	0
ENSG00000112837	0	1	0
ENSG00000204291	0	1	0
ENSG00000165474	0	1	0
ENSG00000157368	0	1	0
ENSG00000124205	0	1	0
ENSG00000010379	0	1	0
ENSG00000109072	0	1	0
ENSG00000123243	0	1	0
ENSG00000139329	0	1	0
ENSG00000143196	0	1	0
ENSG00000181195	0	1	0
ENSG00000157227	0	1	0
ENSG00000142173	0	1	0
ENSG00000106819	0	1	0
ENSG00000136859	0	1	0
ENSG00000115380	0	1	0
ENSG00000168079	0	1	0
ENSG00000146674	0	1	0
ENSG00000005243	0	1	0
ENSG00000015413	0	1	0
ENSG00000154736	0	1	0
ENSG00000130635	0	1	0
ENSG00000174807	0	1	0
ENSG00000164530	0	1	0
ENSG00000149090	0	1	0
ENSG00000168477	0	1	0
ENSG00000087245	0	1	0
ENSG00000187955	0	1	0
ENSG00000163815	0	1	0
ENSG00000167779	0	1	0
ENSG00000204262	0	1	0
ENSG00000166147	0	1	0
ENSG00000197614	0	1	0
ENSG00000141756	0	1	0
ENSG00000129116	0	1	0
ENSG00000156076	0	1	0
ENSG00000250786	0	1	0
ENSG00000140937	0	1	0
ENSG00000185920	0	1	0
ENSG00000186635	0	1	0
ENSG00000163520	0	1	0
ENSG00000017427	0	1	0
ENSG00000116132	0	1	0
ENSG00000079150	0	1	0
ENSG00000184232	0	1	0
ENSG00000163359	0	1	0
ENSG00000143387	0	1	0
ENSG00000107984	0	1	0
ENSG00000182326	0	1	0
ENSG00000106538	0	1	0
ENSG00000166923	0	1	0
ENSG00000159674	0	1	0
ENSG00000118526	0	1	0
ENSG00000140479	0	1	0
ENSG00000144810	0	1	0
ENSG00000054179	0	1	0
ENSG00000169429	0	1	0
ENSG00000163734	0	1	0
ENSG00000136244	0	1	0
ENSG00000197467	0	1	0
ENSG00000142303	0	1	0
ENSG00000172156	0	1	0
ENSG00000149451	0	1	0
ENSG00000169031	0	1	0
ENSG00000081052	0	1	0
ENSG00000196569	0	1	0
ENSG00000144476	0	1	0
ENSG00000144152	0	1	0
ENSG00000176971	0	1	0
ENSG00000186340	0	1	0
ENSG00000163661	0	1	0
ENSG00000149968	0	1	0
ENSG00000154237	0	1	0
ENSG00000019991	0	1	0
ENSG00000162998	0	1	0
ENSG00000111799	0	1	0
ENSG00000114270	0	1	0
ENSG00000116690	0	1	0
ENSG00000118762	0	1	0
ENSG00000166741	0	1	0
ENSG00000105509	0	1	0
ENSG00000012061	0	1	0
ENSG00000233608	0	1	0
ENSG00000129465	0	1	0
ENSG00000162733	0	1	0
ENSG00000049540	0	1	0
ENSG00000115414	0	1	0
ENSG00000164161	0	1	0
ENSG00000094963	0	1	0
ENSG00000164692	0	1	0
ENSG00000168542	0	1	0
ENSG00000026025	0	1	0
ENSG00000163430	0	1	0
ENSG00000148180	0	1	0
ENSG00000196154	0	1	0
ENSG00000135318	0	1	0
ENSG00000108821	0	1	0
ENSG00000086991	0	1	0
ENSG00000154096	0	1	0
ENSG00000101017	0	1	0
ENSG00000149257	0	1	0
ENSG00000026508	0	1	0
ENSG00000134853	0	1	0
ENSG00000163064	0	1	0
ENSG00000011465	0	1	0
ENSG00000172216	0	1	0
ENSG00000120738	0	1	0
ENSG00000125740	0	1	0
ENSG00000075426	0	1	0
ENSG00000100644	0	1	0
ENSG00000127528	0	1	0
ENSG00000136826	0	1	0
ENSG00000067082	0	1	0
ENSG00000119138	0	1	0
ENSG00000102908	0	1	0
ENSG00000131196	0	1	0
ENSG00000109320	0	1	0
ENSG00000123358	0	1	0
ENSG00000153234	0	1	0
ENSG00000185630	0	1	0
ENSG00000159216	0	1	0
ENSG00000168610	0	1	0
ENSG00000196628	0	1	0
ENSG00000169554	0	1	0
ENSG00000135862	0	1	0
ENSG00000102802	0	1	0
ENSG00000091136	0	1	0
ENSG00000050165	0	1	0
ENSG00000164532	0	1	0
ENSG00000110492	0	1	0
ENSG00000134201	0	1	0
ENSG00000134259	0	1	0
ENSG00000112715	0	1	0
ENSG00000138685	0	1	0
ENSG00000178467	0	1	0
ENSG00000136026	0	1	0
ENSG00000145824	0	1	0
